Heat #1,Heat #2,Heat #3,
(16) Queen vs. (20) Uriel,(20) Uriel vs. (24) Yonder,(1) Bruce vs. (13) Nick,
(21) Victor vs. (24) Yonder,(3) Dylan vs. (14) Oliver,(7) Hank vs. (14) Oliver,
(7) Hank vs. (9) Jack,(2) Chris vs. (5) Francisco,(3) Dylan vs. (12) Mark,
(1) Bruce vs. (5) Francisco,(12) Mark vs. (22) Walter,(10) Kelly vs. (23) Xavier,
(6) George vs. (19) Tony,(16) Queen vs. (19) Tony,(11) Luke vs. (20) Uriel,
(8) Inna vs. (12) Mark,(1) Bruce vs. (21) Victor,(2) Chris vs. (17) Rick,
(11) Luke vs. (23) Xavier,(10) Kelly vs. (11) Luke,(4) Esse vs. (24) Yonder,
(17) Rick vs. (18) Steve,(8) Inna vs. (23) Xavier,(9) Jack vs. (19) Tony,
(13) Nick vs. (14) Oliver,(9) Jack vs. (25) Zach,(15) Paul vs. (18) Steve,
(2) Chris vs. (25) Zach,(7) Hank vs. (17) Rick,(8) Inna vs. (22) Walter,
(3) Dylan vs. (15) Paul,(6) George vs. (18) Steve,(5) Francisco vs. (21) Victor,
(4) Esse vs. (22) Walter,(4) Esse vs. (15) Paul,(6) George vs. (16) Queen,
(0) Alex vs. (10) Kelly,(0) Alex vs. (13) Nick,(0) Alex vs. (25) Zach,
