Qualifying Position,Rider #,Name
1,(2),Lahey,
2,(29),Giranamo,
3,(3),Sean Malto,
4,(10),Jon Norman,
5,(16),Eric Mroz,
6,(25),Chris,
7,(21),Flannigan,
8,(20),Brady,
9,(11),Aaron Dodson,
10,(6),Sam Flint,
11,(4),Matt K,
12,(17),Ben Harsons,
13,(24),Ray,
14,(7),Roman Robaza,
15,(1),Eaglechild,
16,(27),Big Tone,
17,(23),Shawn P,
18,(26),Jeff Hooper,
19,(5),Logan,
20,(8),Tim Smith,
21,(15),James,
22,(9),Alex,
23,(0),Jason Bull,
24,(14),Patrick Schwets,
25,(19),DJ,
26,(18),Evan Stott,
27,(22),Dan Jay,
28,(28),Joey,
29,(13),Tad Pfupa,
30,(12),Matthew Mcnabb,
