Heat #1,Heat #2,Heat #3,
(22) Dan Jay vs. (25) Chris,(20) Brady vs. (23) Shawn P,(25) Chris vs. (26) Jeff Hooper,
(10) Jon Norman vs. (19) DJ,(4) Matt K vs. (22) Dan Jay,(4) Matt K vs. (16) Eric Mroz,
(13) Tad Pfupa vs. (21) Flannigan,(3) Sean Malto vs. (17) Ben Harsons,(10) Jon Norman vs. (22) Dan Jay,
(5) Logan vs. (9) Alex,(6) Sam Flint vs. (25) Chris,(5) Logan vs. (29) Giranamo,
(11) Aaron Dodson vs. (12) Matthew Mcnabb,(11) Aaron Dodson vs. (24) Ray,(8) Tim Smith vs. (20) Brady,
(28) Joey vs. (29) Giranamo,(14) Patrick Schwets vs. (29) Giranamo,(2) Lahey vs. (27) Big Tone,
(2) Lahey vs. (23) Shawn P,(8) Tim Smith vs. (26) Jeff Hooper,(12) Matthew Mcnabb vs. (17) Ben Harsons,
(3) Sean Malto vs. (7) Roman Robaza,(9) Alex vs. (27) Big Tone,(13) Tad Pfupa vs. (23) Shawn P,
(8) Tim Smith vs. (27) Big Tone,(5) Logan vs. (13) Tad Pfupa,(9) Alex vs. (11) Aaron Dodson,
(15) James vs. (16) Eric Mroz,(1) Eaglechild vs. (12) Matthew Mcnabb,(3) Sean Malto vs. (28) Joey,
(6) Sam Flint vs. (20) Brady,(16) Eric Mroz vs. (28) Joey,(7) Roman Robaza vs. (24) Ray,
(14) Patrick Schwets vs. (17) Ben Harsons,(2) Lahey vs. (18) Evan Stott,(14) Patrick Schwets vs. (15) James,
(4) Matt K vs. (18) Evan Stott,(19) DJ vs. (21) Flannigan,(1) Eaglechild vs. (18) Evan Stott,
(1) Eaglechild vs. (24) Ray,(10) Jon Norman vs. (15) James,(6) Sam Flint vs. (19) DJ,
(0) Jason Bull vs. (26) Jeff Hooper,(0) Jason Bull vs. (7) Roman Robaza,(0) Jason Bull vs. (21) Flannigan,
